Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,38111.6956952052,37997.3144825227,37923.0033062068,37273.100608254,37592.2682041301
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.2558000087738,4.54397010803223,4.34319019317627,..,..
Albania,ALB,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,1337059794900.35,1376546847495.12,1438069396642.69,1503029017975.38,1532889320625.92
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,470247.105064285,486613.08316363,505581.807453531,527202.060685688,540373.091989534
Albania,ALB,Gini index,SI.POV.GINI,32.8,33.7,33.1,30.1,30.1
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.43796992301941,3.96209001541138,3.61172008514404,3.15294480323792,3.91623997688293
Algeria,DZA,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,7861915590447.52,7902989316199.02,8219962369589.75,8597959872386,8560799999944.91
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,190027.311150529,193421.086141086,192373.387901017,191322.991534493,189524.568880839
Algeria,DZA,Gini index,SI.POV.GINI,..,..,..,..,..
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.17633008956909,6.50210857391357,5.73482370376587,5.81275129318237,5.57536554336548
American Samoa,ASM,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,617015037.593985,616877934.2723,568287539.936102,579317220.543807,572097719.869707
American Samoa,ASM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12387.0040470517,12326.5384247296,11611.6775869422,12080.6160132003,12189.0497719532
American Samoa,ASM,Gini index,SI.POV.GINI,..,..,..,..,..
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..
Andorra,AND,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..
Andorra,AND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,34357.6634245019,35628.7665729209,34985.290728414,34879.5934115644,34972.1473965008
Andorra,AND,Gini index,SI.POV.GINI,..,..,..,..,..
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15060997009277
Angola,AGO,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,1381352588508.76,1428294899373.16,1388226179277.84,1448954084309.15,1596721743413.1
Angola,AGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,57673.5794468019,54211.6370895865,52248.7650752829,49810.8534146315,47813.4295571435
Angola,AGO,Gini index,SI.POV.GINI,..,..,..,51.3,..
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.09999990463257,2.75493669509888,2.46687889099121,2.18351292610168,2.07306432723999
Antigua and Barbuda,ATG,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..
Antigua and Barbuda,ATG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,43982.3731391694,45500.5613044493,46364.2392890304,49338.2530849262,50624.0970185193
Antigua and Barbuda,ATG,Gini index,SI.POV.GINI,..,..,..,..,..
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.1441957950592,2.25177478790283,2.36592817306519,2.34948754310608,2.30307745933533
Argentina,ARG,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,746527494202.225,736387011118.893,755055357165.095,742530673173.202,736026182756.285
Argentina,ARG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,16594.6810374181,16092.7747508315,16401.1760555592,15840.9878454051,15414.0625722301
Argentina,ARG,Gini index,SI.POV.GINI,..,42.3,41.4,41.7,43.3
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.7716498374939
Armenia,ARM,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,4492358062250,4434462424330.23,4771366622610.1,5068997738889.87,5385015360225.29
Armenia,ARM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1568270.02066831,1577865.90659359,1703549.96435524,1798412.1641967,1939337.25900422
Armenia,ARM,Gini index,SI.POV.GINI,32.4,32.5,33.6,34.4,30
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.80591011047363,2.75812005996704,2.70759010314941,2.25586795806885,2.57191228866577
Aruba,ABW,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..
Aruba,ABW,GDP per capita (constant LCU),NY.GDP.PCAP.KN,44255.3083239116,44676.4143221095,47821.9276222008,48890.4740879772,47669.8995457778
Aruba,ABW,Gini index,SI.POV.GINI,..,..,..,..,..
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.88826990127563,5.49136018753052,4.45618057250977,4.54875898361206,4.43504333496094
Australia,AUS,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,1951102875972.11,1953131986224.25,2052557594478.76,2119310607927.64,2194316549138.37
Australia,AUS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,88732.803311388,89768.1513140454,90314.8542154246,91534.8869927155,92150.9782620966
Australia,AUS,Gini index,SI.POV.GINI,..,33.7,..,34.3,..
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.46285820007324,5.43038558959961,5.32125568389893,5.40967607498169,5.50858879089355
Austria,AUT,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,342083540000,351169325056.529,356850799028.414,365032129796.853,370148899987.84
Austria,AUT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,39580.6379465489,39983.9160650262,40609.3873009876,41415.9964101663,41955.8553455437
Austria,AUT,Gini index,SI.POV.GINI,30.5,30.8,29.7,30.8,30.2
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.45658016204834,5.4796199798584,5.37159013748169,5.22655010223389,5.21779012680054
Azerbaijan,AZE,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..
Azerbaijan,AZE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3118.70582664661,2988.43213007178,2965.16969244978,2983.68676702914,3032.49542136829
Azerbaijan,AZE,Gini index,SI.POV.GINI,..,..,..,..,..
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.95167994499207,2.90340995788574,2.47381997108459,2.45543003082275,3.1764600276947
"Bahamas, The",BHS,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,12138159999.7,12188247630.2414,12443188230.4497,12615810000,12557974327.3623
"Bahamas, The",BHS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,31332.6465046997,30814.6267925938,31480.1592890892,32124.4305695959,31531.2092227782
"Bahamas, The",BHS,Gini index,SI.POV.GINI,..,..,..,..,..
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.29697513580322,2.58660674095154,2.69140648841858,2.48519492149353,2.6171863079071
Bahrain,BHR,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,11208997381.9896,11478106693.4624,12334066188.5003,12702318479.6909,12936063381.5849
Bahrain,BHR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8761.48087821694,8754.54968161009,8714.53638492961,8881.72439326694,9182.17011422363
Bahrain,BHR,Gini index,SI.POV.GINI,..,..,..,..,..
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.66808009147644,2.80248284339905,2.32781004905701,2.38893985748291,2.38460445404053
Bangladesh,BGD,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,19277247246992,20758211000000,22126229141038.8,23745739369472.9,25617358580559.9
Bangladesh,BGD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,121591.52773581,129083.773460293,136424.900703757,145213.358628597,155338.569163005
Bangladesh,BGD,Gini index,SI.POV.GINI,..,32.4,..,..,..
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.87225413322449,2.22119998931885,1.85040032863617,1.65589129924774,1.68138802051544
Barbados,BRB,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,..,..,..,..,..
Barbados,BRB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,37541.9875264346,38131.6139600426,38102.5063264935,37582.7213753647,37761.2587880103
Barbados,BRB,Gini index,SI.POV.GINI,..,34.1,..,..,..
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.17699909210205,4.68382978439331,4.34997987747192,5.13313722610474,4.0863299369812
Belarus,BLR,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,115191489131.882,108884543485.621,114398484540.814,122318891205.559,124814734926.744
Belarus,BLR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12541.3132861757,12213.7449931054,12536.7750394462,12959.263295011,13173.2683578495
Belarus,BLR,Gini index,SI.POV.GINI,25.6,25.3,25.4,25.2,25.3
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.78750991821289,4.94654989242554,4.79500007629395,5.38110017776489,4.97948980331421
Belgium,BEL,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,415538000000,423469604751.286,428419361175.496,433650387325.616,446918268074.796
Belgium,BEL,GDP per capita (constant LCU),NY.GDP.PCAP.KN,36857.439767767,37108.9751136265,37511.3520181434,38042.2462342438,38761.5183419242
Belgium,BEL,Gini index,SI.POV.GINI,27.7,27.6,27.4,27.2,27.2
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.4515700340271,6.46173000335693,6.42534017562866,6.38107013702393,6.33397006988525
Belize,BLZ,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,4454523881.89318,4598502814.34408,4689032289.26762,4563866873.88988,4714847396.91795
Belize,BLZ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12346.597143683,12069.7550074718,11581.12764669,11493.4275930631,11809.8950571367
Belize,BLZ,Gini index,SI.POV.GINI,..,..,..,39.9,..
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.39020013809204,5.72171020507812,5.94967985153198,6.12682008743286,5.96499013900757
Benin,BEN,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,6732814000000,7029141946047.56,7353450626423.84,7832607046126.4,8481201621215.56
Benin,BEN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,592641.761528204,594782.182901769,610665.348619327,633486.007611674,658712.137956612
Benin,BEN,Gini index,SI.POV.GINI,47.6,..,..,37.9,..
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.17298007011414,2.89910006523132,3.53558993339539,2.93161988258362,2.96520113945007
Bermuda,BMU,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,6561247515.75016,6434345087.66725,6778540738.11456,6611862724.25533,6842002053.27651
Bermuda,BMU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,98870.8874322451,98244.32221154,101585.800119538,100745.23350723,100618.715584882
Bermuda,BMU,Gini index,SI.POV.GINI,..,..,..,..,..
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.50163996219635,1.91544389724731,1.32495999336243,1.93595468997955,1.92679822444916
Bhutan,BTN,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,154076292800.394,165555153148.497,168753299438.758,174363445377.149,180377686056.032
Bhutan,BTN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,205757.081439414,221033.805105158,223711.34766219,229892.404968174,241512.986772903
