Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18799444490.1128
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,19080662010.7479
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Afghanistan,AFG,Gini index,SI.POV.GINI,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.941
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15585105131.0644
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,15383523591.8511
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.91623997688293
Albania,ALB,Gini index,SI.POV.GINI,30.1
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.466
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.467
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,193459662090.677
Algeria,DZA,GNI (current US$),NY.GNP.MKTP.CD,189548593096.822
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.57536554336548
Algeria,DZA,Gini index,SI.POV.GINI,..
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.682
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,647000000
American Samoa,ASM,GNI (current US$),NY.GNP.MKTP.CD,..
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
American Samoa,ASM,Gini index,SI.POV.GINI,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.751
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3155149347.80639
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,3462352923.13403
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.15060997009277
Andorra,AND,Gini index,SI.POV.GINI,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.098
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,70897962732.0277
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,64488157749.3216
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.07306432723999
Angola,AGO,Gini index,SI.POV.GINI,..
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.497
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.051
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1725351851.85185
Antigua and Barbuda,ATG,GNI (current US$),NY.GNP.MKTP.CD,1653655555.55556
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.30307745933533
Antigua and Barbuda,ATG,Gini index,SI.POV.GINI,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.168
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,447754683615.225
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,430166792070.565
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.7716498374939
Argentina,ARG,Gini index,SI.POV.GINI,43.3
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.843
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.847
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13619290539.2116
Armenia,ARM,GNI (current US$),NY.GNP.MKTP.CD,13807148386.5538
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.57191228866577
Armenia,ARM,Gini index,SI.POV.GINI,30
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.794
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.2219512195122
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3395798882.68156
Aruba,ABW,GNI (current US$),NY.GNP.MKTP.CD,3242394120.10797
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.43504333496094
Aruba,ABW,Gini index,SI.POV.GINI,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.019
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1392723834562.64
Australia,AUS,GNI (current US$),NY.GNP.MKTP.CD,1345853874492.3
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.50858879089355
Australia,AUS,Gini index,SI.POV.GINI,..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.143
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.9
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,442983642371.842
Austria,AUT,GNI (current US$),NY.GNP.MKTP.CD,443323100627.45
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.21779012680054
Austria,AUT,Gini index,SI.POV.GINI,30.2
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.56
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.8951219512195
