Country,Year,Happiness,GDP_current_usd,GNI_current_usd,Edu_expenditure_pct,Gini_index,Unemployment_rate,Life_expectancy
Finland,2019,7.769,267014821129.411,269899706941.176,6.41695022583008,27.7,6.695,81.9829268292683
Denmark,2019,7.6,345401473012.615,355443582780.668,7.25505018234253,27.7,5.018,81.4512195121951
Norway,2019,7.554,408742840909.091,421234090909.091,7.8645601272583,27.7,3.684,82.9585365853659
Iceland,2019,7.494,24681343649.2952,25374511608.1548,7.60129976272583,,3.507,83.1634146341463
Netherlands,2019,7.488,928903005576.469,891679358650.979,5.15986013412476,29.2,3.379,82.1121951219512
Switzerland,2019,7.48,721369112726.724,696318048854.117,5.01438999176025,34.0,4.394,83.9048780487805
Sweden,2019,7.343,532169294165.94,547611418095.424,7.63851022720337,29.3,6.833,83.109756097561
New Zealand,2019,7.307,212846907683.439,207518405665.816,5.17797994613647,,4.109,82.0560975609756
Canada,2019,7.278,1743725183672.52,1722945761061.66,4.77293014526367,31.7,5.69,82.1636585365854
Austria,2019,7.246,442983642371.842,443323100627.45,5.21779012680054,30.2,4.56,81.8951219512195
Australia,2019,7.228,1392723834562.64,1345853874492.3,5.50858879089355,,5.143,82.9
Costa Rica,2019,7.167,64417670521.3545,60575320937.0316,6.73808002471924,48.2,10.807,80.296
Israel,2019,7.139,399651065197.871,397736725276.623,6.04147005081177,38.3,3.731,82.8048780487805
Luxembourg,2019,7.09,69890505323.5842,47877349992.9411,3.73606991767883,34.2,5.592,82.6390243902439
United Kingdom,2019,7.054,2851407164907.81,2848530128634.05,5.26115989685059,32.8,3.657,81.3691219512195
Ireland,2019,7.021,407124824064.995,309776780487.207,3.2961699962616,30.3,4.95,82.7024390243903
Germany,2019,6.985,3957208055215.68,4034728306596.07,5.11552000045776,31.8,3.163,81.2926829268293
Belgium,2019,6.923,536726344405.489,541049419119.999,6.33397006988525,27.2,5.364,81.9951219512195
United States,2019,6.892,21539982000000.0,21764838000000.0,4.95746994018555,41.9,3.669,78.7878048780488
United Arab Emirates,2019,6.825,417989721734.494,420051262918.973,3.86020994186401,,2.331,82.596
Malta,2019,6.726,16337793530.7788,14798835701.3958,4.8993501663208,31.0,3.627,82.6585365853659
Mexico,2019,6.595,1304106203694.81,1267424146058.02,,,3.477,74.53
France,2019,6.592,2722793515171.76,2787416524619.6,5.35443019866943,31.2,8.415,82.8268292682927
Chile,2019,6.444,278285058719.466,267848366678.638,5.62630987167358,,7.493,80.324
Guatemala,2019,6.436,77172317258.6478,75768261350.5168,3.19297003746033,,2.193,71.639
Saudi Arabia,2019,6.375,838564800000.0,846719422506.667,,,5.636,78.313
Qatar,2019,6.374,176371267689.082,171961652307.692,2.80378007888794,,0.1,82.945
Spain,2019,6.354,1403496387686.27,1396786257474.51,4.23021984100342,34.3,14.105,83.8317073170732
Panama,2019,6.321,69778991200.0,65459457700.0,3.09329414367676,49.8,6.409,78.514
Brazil,2019,6.3,1873288205186.45,1822994396029.28,5.96346998214722,53.5,11.936,75.809
Uruguay,2019,6.293,62222325807.0578,59174795690.0189,4.62833976745605,39.7,8.836,77.503
Singapore,2019,6.262,376901649222.451,333217559842.775,2.72951006889343,,3.1,83.5951219512195
El Salvador,2019,6.253,26881140000.0,25540040000.0,3.38710999488831,38.8,4.17,71.725
Italy,2019,6.223,2019606796583.53,2027301728521.57,4.09527015686035,34.6,9.952,83.4975609756098
Bahrain,2019,6.199,40446808510.6383,38186170212.766,2.38460445404053,,,80.471
Poland,2019,6.182,602683770144.88,577797688425.851,4.67881011962891,28.8,3.267,77.9048780487805
Uzbekistan,2019,6.174,67293639798.3996,68029857950.0186,6.29534673690796,,8.98,72.093
Lithuania,2019,6.149,55122066225.796,52901803474.7058,3.9640998840332,35.3,6.255,76.2829268292683
Colombia,2019,6.125,323031701192.84,315981529469.142,,51.3,10.28,76.793
Slovenia,2019,6.118,53909922735.545,53555776974.3685,4.89153003692627,24.4,4.446,81.5292682926829
Nicaragua,2019,6.105,12699028889.666,12232628822.9947,4.59991979598999,,,73.764
Kosovo,2019,6.1,7899737577.47286,8079554105.61387,,40.2,25.069,77.249
Argentina,2019,6.086,447754683615.225,430166792070.565,4.7716498374939,43.3,9.843,76.847
Romania,2019,6.07,251677082534.495,248106362712.884,3.56695008277893,34.8,3.912,75.6073170731707
Cyprus,2019,6.046,26196667099.5303,24793491597.2219,5.21260023117065,31.2,7.155,81.454
Ecuador,2019,6.028,107595829000.0,104536017000.0,4.2457799911499,45.7,3.812,77.286
Kuwait,2019,6.021,140856394870.02,161059878933.509,6.72789573669434,,,81.969756097561
Thailand,2019,6.008,543976691793.886,523977887377.21,3.02221417427063,34.9,0.716,77.197
Latvia,2019,5.94,33099503950.847,33726980608.3372,4.43584012985229,34.5,6.312,75.3878048780488
Estonia,2019,5.893,31873748770.0313,30681549837.647,5.26041984558105,30.8,4.514,78.6463414634147
Jamaica,2019,5.89,15830766570.7266,15389266570.7267,5.16364002227783,,4.987,71.532
Mauritius,2019,5.888,14436346979.6355,15153839975.8896,4.54195022583008,,6.331,74.2358536585366
Japan,2019,5.886,5117993853016.51,5318494421653.03,3.15533995628357,33.0,2.351,84.3563414634146
Honduras,2019,5.86,24882225741.8119,22895236635.6885,5.93245983123779,48.2,5.698,72.124
Kazakhstan,2019,5.809,181667184854.501,158974562541.081,3.35382127761841,28.0,4.8,73.658
Bolivia,2019,5.779,40895322843.7851,40059428632.4971,8.09103965759277,41.6,3.682,67.82
