Overall rank,Country,Happiness,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_life_choices,Generosity,Perceptions_corruption,Year,GDP_per_capita_const_LCU,Gross_income_const_LCU,Govt_educ_pct_GDP,Gini_index
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019,41368.2178699458,227932134994.437,6.41695022583008,27.7
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019,384261.86042224,2226292744345.52,7.25505018234253,27.7
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019,618620.66876394,3252660328809.45,7.8645601272583,27.7
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,7584457.64817799,2727708155622.86,7.60129976272583,
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019,44392.4683454028,777320759609.608,5.15986013412476,29.2
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019,83846.1840313086,698856321553.168,5.01438999176025,34.0
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019,448369.664342063,4588933497709.94,7.63851022720337,29.3
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019,58293.9150867609,295442122578.192,5.17797994613647,
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019,57673.6305373195,2185758549827.97,4.77293014526367,31.7
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,41955.8553455437,370148899987.84,5.21779012680054,30.2
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019,92150.9782620966,2194316549138.37,5.50858879089355,
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019,7219450.43392879,35964924446277.6,6.73808002471924,48.2
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019,152762.857190192,1408141728794.85,6.04147005081177,38.3
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019,96754.7358794583,57966548505.6562,3.73606991767883,34.2
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019,30916.9625673775,2062868073123.15,5.26115989685059,32.8
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019,69505.4473343953,335396173399.709,3.2961699962616,30.3
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019,39844.1806539524,3322122597513.65,5.11552000045776,31.8
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019,38761.5183419242,446918268074.796,6.33397006988525,27.2
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019,61400.5481543687,20250104188732.2,4.95746994018555,41.9
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019,160681.086138375,1474688742704.06,3.86020994186401,
